Star,instr_broad,teff,logg,feh,vrot,vrot_err,vmac,status,vsini_final_err
WASP-23,0.0464980434782608,5077.0,4.36,0.06,10.537,0.031,2.719,1.0,0.4429367900728038
GJ785,0.0464969565217391,5041.0,4.34,-0.06,0.1,0.0,2.779,4.0,0.0
TOI-132,0.0465017391304347,5368.0,4.33,0.26,0.1,0.0,2.812,4.0,0.0
HIP65407,0.0721114438262062,5432.0,4.39,0.21,50.0,0.0,2.744,4.0,0.0
HD221416,0.0464939565217391,5056.0,3.5,-0.13,0.1,0.0,4.45,4.0,0.0
HD11977,0.0464966086956521,5018.0,2.85,-0.15,0.1,0.0,5.774,4.0,4.010000000000001
HD29021,0.0721099214847124,5521.0,4.41,-0.27,0.1,0.0,2.805,4.0,0.0
HD164595,0.0464996956521739,5714.0,4.36,-0.07,0.1,0.0,3.231,4.0,0.0
HD219666,0.0464960434782608,5539.0,4.32,0.06,0.1,0.0,3.009,4.0,0.0784474346298207
CoRoT-32,0.1352055504024127,5859.0,4.59,0.06,0.1,0.0,3.115,4.0,0.0
HD44219,0.0464933478260869,5772.0,4.21,0.06,0.1,0.0,3.658,4.0,0.0
HD108874,0.0468898621049952,5597.0,4.33,0.21,0.1,0.0,3.075,4.0,0.0
WASP-59,0.1352476441224747,4401.0,3.97,-0.02,0.1,0.0,2.0,4.0,0.0
NGTS-4,0.0464978260869565,5122.0,4.27,-0.12,29.879,0.076,2.882,1.0,3.0012240836032205
HD20794,0.0464978260869565,5422.0,4.53,-0.42,0.1,0.0,2.455,4.0,0.0
Qatar-6,0.0539222554861102,5930.0,4.46,-0.02,0.1,0.0,3.573,4.0,0.0
HIP109600,0.072122441675149,5503.0,4.32,-0.17,0.1,0.0,2.962,4.0,0.0
HD215152,0.046493,4830.0,4.29,-0.09,0.1,0.0,2.0,4.0,0.0
BD+631405,0.0721058666666666,5000.0,4.2,-0.09,0.1,0.0,2.0,4.0,0.1747712791050062
TOI1296,0.0470218955606857,5603.0,4.05,0.044,0.1,0.0,3.645,4.0,0.0
K2-27,0.0464941304347826,5242.0,4.29,0.13,0.1,0.0,2.836,4.0,0.0
K2-285,0.0468820450925275,5047.0,4.34,-0.05,0.1,0.0,2.775,4.0,0.0
CoRoT-28,0.1352343414182111,5414.0,3.9,0.23,50.0,0.0,3.708,4.0,40.81731957147603
EPIC249893012,0.046497652173913,5567.0,4.03,0.16,0.1,0.0,3.629,4.0,0.1806765064971093
24Sex,0.0464955652173913,5014.0,3.22,-0.02,0.1,0.0,5.037,4.0,3.494
TOI1062,0.0464983715782005,5328.0,4.55,0.13,0.1,0.0,2.347,4.0,0.0
BD-004475,0.0721013333333333,5040.0,4.25,-0.14,0.1,0.0,2.959,4.0,0.0559999999999999
alfAri,0.132755905425322,4513.0,2.49,-0.16,0.1,0.0,2.0,4.0,0.0
HIP109384,0.0721239203760207,5185.0,4.39,-0.32,0.1,0.0,2.632,4.0,0.0
Kepler-418,0.1352176864100795,5969.0,4.53,0.18,0.1,0.0,3.551,4.0,4.9
K2-10,0.0468858588175868,5592.0,4.4,-0.01,0.1,0.0,2.927,4.0,0.1918462926407492
HD109271,0.0464971739130434,5794.0,4.27,0.11,0.1,0.0,3.59,4.0,0.0
HD28254,0.0464978260869565,5664.0,4.12,0.06,0.1,0.0,3.612,4.0,0.0
HD42012,0.0720959184425916,5353.0,4.38,-0.14,0.1,0.0,2.702,4.0,0.0
