star_name,spectrograph,Teff,eTeff,logg,feh,efeh,vtur,instr_broad,fits_name
WASP-139,HARPS,5215.0,38,4.35,0.12,0.03,0.82,0.055,WASP-139_HARPSS_115000_378_691_2020_rv.fits
WASP-23,HARPSS,5077.0,61.0,4.36,0.06,0.03,0.69,0.046498043478260864,WASP-23_HARPSS_115000_378_691_2020_rv.fits
GJ785,HARPSS,5041.0,61.0,4.34,-0.06,0.03,0.68,0.04649695652173913,GJ785_HARPSS_115000_378_691_2020_rv.fits
TOI-132,HARPSS,5368.0,45.0,4.33,0.26,0.03,0.85,0.04650173913043479,TOI-132_HARPSS_115000_378_691_2020_rv.fits
HIP65407,SOPHIEHR,5432.0,44.0,4.39,0.21,0.03,0.81,0.07211144382620625,HIP65407_SOPHIE_HR_2020_rv.fits
HD221416,HARPSS,5056.0,24.0,3.5,-0.13,0.02,0.98,0.04649395652173913,HD221416_HARPSS_115000_378_691_2020_rv.fits
HD11977,HARPSS,5018.0,25.0,2.85,-0.15,0.02,1.48,0.046496608695652177,HD11977_HARPSS_115000_378_691_2020_rv.fits
HD29021,SOPHIEHR,5521.0,21.0,4.41,-0.27,0.02,0.61,0.07210992148471242,HD29021_SOPHIE_HR_2020_rv.fits
HD164595,HARPSS,5714.0,10.0,4.36,-0.07,0.01,0.92,0.04649969565217391,HD164595_HARPSS_115000_378_691_2020_rv.fits
HD219666,HARPSS,5539.0,18.0,4.32,0.06,0.01,0.89,0.04649604347826087,HD219666_HARPSS_115000_378_691_2020_rv.fits
CoRoT-32,SOPHIEHE,5859.0,62.0,4.59,0.06,0.05,0.85,0.13520555040241275,CoRoT-32_SOPHIE_HE_2020_rv.fits
HD44219,HARPSS,5772.0,16.0,4.21,0.06,0.01,1.1,0.04649334782608695,HD44219_HARPSS_115000_378_691_2020_rv.fits
HD108874,HARPSN,5597.0,30.0,4.33,0.21,0.02,0.96,0.046889862104995295,HD108874_HARPSN_2020_rv.fits
WASP-59,SOPHIEHE,4401.0,239.0,3.97,-0.02,0.2,0.4,0.13524764412247473,WASP-59_SOPHIE_HE_2020_rv.fits
NGTS-4,HARPSS,5122.0,73.0,4.27,-0.12,0.04,0.59,0.046497826086956524,NGTS-4_HARPSS_115000_378_691_2020_rv.fits
HD20794,HARPSS,5422.0,39.0,4.53,-0.42,0.03,0.54,0.046497826086956524,HD20794_HARPSS_115000_378_691_2020_rv.fits
Qatar-6,UVES,5930.0,30.0,4.46,-0.02,0.02,0.94,0.05392225548611022,Qatar-6_UVES_107200_472_683_2020_rv.fits
HIP109600,SOPHIEHR,5503.0,24.0,4.32,-0.17,0.02,0.53,0.07212244167514907,HIP109600_SOPHIE_HR_2020_rv.fits
HD215152,HARPSS,4830.0,78.0,4.29,-0.09,0.04,0.61,0.046493,HD215152_HARPSS_115000_378_691_2020_rv.fits
BD+631405,SOPHIE,5000.0,53.0,4.2,-0.09,0.03,0.43,0.07210586666666666,BD+631405_SOPHIE_2020_rv.fits
TOI1296,SOPHIEHR,5603.0,47.0,4.05,0.044,0.04,1.22,0.0721002398597182,TOI1296_rv_rv.fits
K2-27,HARPSS,5242.0,25.0,4.29,0.13,0.02,0.7,0.04649413043478261,K2-27_HARPSS_115000_378_691_2020_rv.fits
K2-285,HARPSN,5047.0,36.0,4.34,-0.05,0.02,0.68,0.04688204509252758,K2-285_HARPSN_2020_rv.fits
CoRoT-28,SOPHIEHE,5414.0,64.0,3.9,0.23,0.05,0.8,0.13523434141821117,CoRoT-28_SOPHIE_HE_2020_rv.fits
EPIC249893012,HARPSS,5567.0,21.0,4.03,0.16,0.02,1.09,0.04649765217391305,EPIC249893012_HARPSS_115000_378_691_2020_rv.fits
24Sex,HARPSS,5014.0,26.0,3.22,-0.02,0.02,1.11,0.0464955652173913,24Sex_HARPSS_115000_378_691_2020_rv.fits
TOI1062,HARPS,5328.0,56.0,4.55,0.13,0.04,0,0.04649837157820052,TOI1062_rv_rv.fits
BD-004475,SOPHIE,5040.0,112.0,4.25,-0.14,0.06,0.01,0.07210133333333334,BD-004475_SOPHIE_2020_rv.fits
alfAri,FEROS,4513.0,72.0,2.49,-0.16,0.03,1.5,0.13275590542532206,alfAri_FEROS_2011_rv.fits
HIP109384,SOPHIEHR,5185.0,53.0,4.39,-0.32,0.04,0.28,0.07212392037602078,HIP109384_SOPHIE_HR_2020_rv.fits
Kepler-418,SOPHIEHE,5969.0,136.0,4.53,0.18,0.1,0.49,0.13521768641007959,Kepler-418_SOPHIE_HE_2020_rv.fits
K2-10,HARPSN,5592.0,20.0,4.4,-0.01,0.01,0.95,0.046885858817586834,K2-10_HARPSN_2020_rv.fits
HD109271,HARPSS,5794.0,17.0,4.27,0.11,0.01,1.11,0.04649717391304348,HD109271_HARPSS_115000_378_691_2020_rv.fits
HD28254,HARPSS,5664.0,35.0,4.12,0.06,0.02,0,0.046497826086956524,HD28254_HARPSS_115000_378_691_2020_rv.fits
HD42012,SOPHIEHR,5353.0,26.0,4.38,-0.14,0.02,0.63,0.07209591844259162,HD42012_SOPHIE_HR_2020_rv.fits
