Star,instr_broad,teff,logg,feh,vrot,vrot_err,vmac,status,vsini_final_err,date,comments
38Vir,0.055,6440.0,4.42,0.16,28.767,0.001,5.674,2,2.2880257865679745,2024-03-12 17:38:55.606654
CoRoT-11,0.055,6343.0,4.27,0.04,42.829,0.128,5.509,5,4.9568637261881605,2024-03-12 18:40:10.243527
CoRoT-19,0.055,6317.0,4.38,0.17,6.679,0.0,5.171,1,0.8453336619347419,2024-03-12 20:02:32.731735 
CoRoT-1,0.061,6344.0,4.46,0.12,7.189,0.05,5.134,1,1.4468697246124123,2024-03-12 21:18:31.087653
CoRoT-25,0.13,6104.0,4.3,0.16,4.61,0.077,4.466,1,0.9015176093676709,2024-03-12 22:38:50.577240
CoRoT-2,0.055,5676.0,4.71,0.01,10.245,0.035,2.455,1,0.2841038542505186,2024-03-12 23:10:12.599253
CoRoT-3,0.055,6558.0,4.25,0.14,17.46,0.069,5.5,1,1.1744692418279858,2024-03-12 23:28:49.412771
CoRoT-4,0.11,6238.0,4.55,0.18,7.704,0.052,4.489,1,0.5141381137398782,2024-03-12 23:51:59.261716,Muito desviado
CoRoT-6,0.061,6265.0,4.6,0.01,9.789,0.051,4.503,1,0.9004504428340291,2024-03-13 11:17:27.138903 
DSTucA,0.13,5909.0,4.83,0.01,17.712,0.054,2.772,1,1.936523947695973,2024-03-13 11:49:52.593695
GJ3021,0.055,5563.0,4.48,0.06,4.198,0.029,2.723,1,0.7804069451254263,2024-03-13 12:15:06.887225
HAT-P-34,0.13,6509.0,4.24,0.08,21.575,0.166,5.5,1,2.0826310282908977,2024-03-13 12:43:30.319521
HAT-P-39,0.061,6721.0,4.79,0.22,14.328,0.061,5.5,1,1.918793892006123,2024-03-13 13:01:01.638315
HAT-P-45,0.061,6531.0,4.65,0.14,10.293,0.05,5.5,1,1.1032860009988343,2024-03-13 14:48:21.916195
HAT-P-46,0.055,6344.0,4.43,0.36,4.658,0.051,5.194,1,0.4318772973889695,2024-03-13 15:23:49.186216
HAT-P-50,0.061,6377.0,4.3,-0.05,8.445,0.054,5.608,1,0.7004969664459636,2024-03-13 15:43:44.254110
HAT-P-66,0.135,6250.0,4.29,0.15,5.0,0.075,5.06,1,6.9300523086048935,2024-03-27 21:04:39.718630
HATS-10,0.13,6167.0,4.51,0.4,5.757,0.045,4.283,1,1.4185718170046946,2024-03-13 16:13:39.806710 
HATS-27,0.055,6650.0,4.46,0.36,8.227,0.044,5.5,1,1.195220900085002,2024-03-13 16:28:41.048877 
