Star,instr_broad,teff,logg,feh,vrot,vrot_err,vmac,status,vsini_final_err,date,comments
TYC-3667-1280-1,0.0468806996846856,5203.0,3.04,-0.04,3.732,0.04,5.332,1,0.4554173909722816,2024-05-03 12:54:02.983897,dentro do erro
HAT-P-20,0.0464974782608695,4562.0,4.18,0.18,3.595,0.0,2.0,1,0.19944924166313627,2024-05-03 13:21:16.896916,desviado
TOI-1130,0.0464937391304347,4609.0,4.12,-0.07,3.081,0.045,2.0,1,0.27479992721978663,2024-05-03 13:49:06.675653,desviado
NGTS-8,0.0464993913043478,5781.0,4.37,0.1,4.074,0.044,3.359,1,0.6001874707122767,2024-05-03 14:55:52.711801,dentro do erro
BD+202457,0.0468637388228949,4278.0,1.63,-0.74,4.423,0.022,2.0,1,0.10788883167408932,2024-05-03 15:35:16.602059,desviado
HD27442,0.0464977826086956,4801.0,3.39,0.31,3.081,0.037,2.0,1,0.19309583113055556,2024-05-03 15:52:03.909457,dentro do erro
WASP-23,0.0464980434782608,5077.0,4.36,0.06,10.537,0.031,2.719,1,0.44293679007280384,2024-05-03 16:13:32.213731,x
CoRoT-9,0.0464939056301941,5596.0,4.39,-0.02,0.666,1.414,2.954,1,2.3002604200394354,2024-05-03 16:38:34.671777,desviado
HD159243,0.0721058709753722,6077.0,4.44,0.01,4.532,0.059,4.089,1,0.38764545657082067,2024-05-03 16:52:57.309099,desviado
HD141399,0.0721132321609525,5571.0,4.1,0.3,3.267,0.039,3.495,1,0.41044609877546645,2024-05-03 17:07:18.233985,dentro do erro
GJ785,0.0464969565217391,5041.0,4.34,-0.06,0.1,0.0,2.779,4,0.0,2024-05-03 17:33:59.909012,x
K2-280,0.0464963913043478,5763.0,4.3,0.34,8.795,0.029,3.458,1,0.10259629622944434,2024-05-03 17:38:57.280427,desviado
WASP-76,0.046495304347826,6372.0,4.28,0.38,1.861,0.139,5.624,1,2.621493276741331,2024-05-03 23:00:37.608425,dentro do erro
HD207832,0.0465006956521739,5736.0,4.51,0.14,0.121,0.0,2.978,4,0.2643217736017977,2024-05-03 23:20:59.331352,desviado
TOI-132,0.0465017391304347,5368.0,4.33,0.26,0.1,0.0,2.812,4,0.0,2024-05-03 23:27:23.027711,x
HIP65407,0.0721114438262062,5432.0,4.39,0.21,50.0,0.0,2.744,4,0.0,2024-05-03 23:35:30.383659,x
HD221416,0.0464939565217391,5056.0,3.5,-0.13,0.1,0.0,4.45,4,0.0,2024-05-03 23:56:28.370298,x
TOI1710,0.0470280867866843,5665.0,4.46,0.1,3.539,0.04,2.934,1,0.6229165273132509,2024-05-04 11:12:10.553595,desviado
HD238914,0.0468861465832008,4876.0,2.59,-0.1,4.198,0.0,2.0,1,0.057008771254956805,2024-05-04 11:36:23.838805,desviado
HATS-51,0.1327583333298408,6043.0,4.78,0.49,2.499,0.095,3.291,1,2.7473217867588793,2024-05-04 12:07:12.267085,dentro do erro
CoRoT-22,0.1351989428277816,5957.0,4.54,0.23,7.907,0.048,3.494,1,1.1560471443673916,2024-05-04 14:18:38.252262,desviado
HD11977,0.0464966086956521,5018.0,2.85,-0.15,0.1,0.0,5.774,4,4.010000000000001,2024-05-04 14:39:44.365241,x
WASP-131,0.0464960869565217,6138.0,4.22,-0.04,3.729,0.069,4.752,1,0.3658455958461168,2024-05-04 14:50:23.278393,dentro do erro
muLeo,0.1087184625901442,4493.0,2.4,0.21,3.747,0.028,2.0,1,0.44771531133076065,2024-05-04 16:27:31.001789,desviado
HD29021,0.0721099214847124,5521.0,4.41,-0.27,0.1,0.0,2.805,4,0.0,2024-05-04 16:54:04.222937,x
HD109286,0.0721132,5694.0,4.44,0.05,3.266,0.0,3.03,2,0.26021529547664973,2024-05-04 17:11:59.031844,dentro do erro
HD164595,0.0464996956521739,5714.0,4.36,-0.07,0.1,0.0,3.231,4,0.0,2024-05-04 18:24:28.038343,x
BD+152940,0.0539226849533667,4797.0,2.63,-0.19,6.199,0.018,2.0,1,0.14869095466772686,2024-05-04 18:29:28.916657, desviado
HD219666,0.0464960434782608,5539.0,4.32,0.06,0.1,0.0,3.009,4,0.07844743462982073,2024-05-04 18:49:40.877913,x
WASP-181,0.0464956086956521,5943.0,4.44,0.2,4.423,0.0,3.652,1,0.3418917957483037,2024-05-04 18:54:39.542493,desviado
K2-66,0.053922525604864,5956.0,4.1,-0.04,5.12,0.055,4.371,1,0.06923871749245487,2024-05-04 19:13:53.502657,dentro do erro
HD45184,0.0465000869565217,5869.0,4.47,0.05,0.605,0.667,3.381,1,3.0760703828098603,2024-05-04 19:45:49.134962,dentro do erro
CoRoT-32,0.1352055504024127,5859.0,4.59,0.06,0.1,0.0,3.115,4,0.0,2024-05-04 19:57:25.853942,x
HD44219,0.0464933478260869,5772.0,4.21,0.06,0.1,0.0,3.658,4,0.0,2024-05-04 20:02:15.491702,x
HD213885,0.0464968695652174,5878.0,4.35,-0.01,2.854,0.056,3.646,1,0.42654425327274065,2024-05-04 20:07:18.766419,dentro do erro
HD16417,0.0464984347826086,5848.0,4.14,0.14,0.24,0.0,3.986,4,0.3416211351775531,2024-05-05 17:26:50.126822, desviado
HD108874,0.0468898621049952,5597.0,4.33,0.21,0.1,0.0,3.075,4,0.0,2024-05-05 17:33:31.102522,x
Kepler-408,0.1087110307992788,6142.0,4.33,-0.12,2.979,0.106,4.547,1,0.690806050928913,2024-05-05 17:39:54.406022,dentro do erro
WASP-5,0.0464939999999999,5764.0,4.36,0.22,3.723,0.04,3.34,1,0.28598776197592796,2024-05-05 18:10:18.921764,dentro do erro
WASP-91,0.0539223363793845,5040.0,4.39,0.21,2.798,0.0,2.679,1,1.1840206923867507,2024-05-05 18:30:05.823379,dentro do erro
WASP-59,0.1352476441224747,4401.0,3.97,-0.02,0.1,0.0,2.0,4,0.0,2024-05-05 19:06:40.150217,x
NGTS-4,0.0464978260869565,5122.0,4.27,-0.12,29.879,0.076,2.882,1,3.0012240836032205,2024-05-05 19:11:34.040424,x
HIP63242,0.0465004347826087,4832.0,2.54,-0.28,6.193,0.018,2.0,3,0.29489998304509957,2024-05-05 19:38:01.408980,desviado
HAT-P-54,0.053922596706209,4540.0,4.13,-0.1,5.751,0.022,2.0,1,0.2656877866970933,2024-05-05 19:53:45.539472,desviado
HATS-61,0.1327483312953356,5845.0,4.5,0.5,3.253,0.067,3.258,1,2.6161706748604923,2024-05-05 20:06:33.204180,dentro do erro
