star_name,spectrograph,Teff,eTeff,logg,feh,efeh,vtur,instr_broad,fits_name
38Vir,HARPS,6440.0,51,4.42,0.16,0.05,1.44,0.055,38Vir_HARPS_2017_rv.fits
CoRoT-11,HARPS,6343.0,72,4.27,0.04,0.03,1.00,0.055,CoRoT-11_HARPS_2014_rv.fits
CoRoT-19,HARPS,6317.0,55,4.38,0.17,0.04,1.61,0.055,CoRoT-19_HARPS_rv.fits
CoRoT-1,UVES,6344.0,74,4.46,0.12,0.05,1.24,0.061,CoRoT-1_UVES_107200_472_683_2020_rv.fits
CoRoT-25,UVES,6104.0,29,4.30,0.16,0.02,1.21,0.130,CoRoT-25_UVES_51690_472_683_2020_rv.fits	
CoRoT-2,HARPS,5676.0,44,4.71,0.01,0.03,1.77,0.055,CoRoT-2_HARPSS_115000_378_691_2020_rv.fits
CoRoT-3,HARPS,6558.0,44,4.25,0.14,0.04,1.00,0.055,CoRoT-3_HARPS_2014_rv.fits
CoRoT-4,UVES,6238.0,37,4.55,0.18,0.03,1.23,0.110,CoRoT-4_UVES_56990_472_683_2020_rv.fits
CoRoT-6,UVES,6265.0,40,4.60,0.01,0.03,1.31,0.061,CoRoT-6_UVES_2017_rv.fits	
DSTucA,FEROS,5909.0,102,4.83,0.01,0.07,2.52,0.130,DSTucA_FEROS_48000_352_921_2020_rv.fits
GJ3021,HARPS,5563.0,33,4.48,0.06,0.13,0.02,0.055,GJ3021_HARPSS_115000_378_691_2020_rv.fits
HAT-P-34,FEROS,6509.0,51,4.24,0.08,0.05,1.00,0.130,HAT-P-34_FEROS_2014_rv.fits
HAT-P-39,UVES,6721.0,98,4.79,0.22,0.06,2.04,0.061,HAT-P-39_UVES_107200_472_683_2020_rv.fits
HAT-P-45,UVES,6531.0,55,4.65,0.14,0.04,1.60,0.061,HAT-P-45_UVES_107200_472_683_2020_rv.fits
HAT-P-46,HARPS,6344.0,27,4.43,0.36,0.02,1.47,0.055,HAT-P-46_HARPSN_2020_rv.fits
HAT-P-50,UVES,6377.0,47,4.30,-0.05,0.03,1.50,0.061,HAT-P-50_UVES_107200_472_683_2020_rv.fits
HAT-P-66,SOPHIE_HE,6250.0,43,4.29,0.15,0.03,1.20,0.135,HAT-P-66_SOPHIE_HE_2020_rv.fits
HATS-10,FEROS,6167.0,82,4.51,0.40,0.06,1.45,0.130,HATS-10_FEROS_48000_352_921_2020_rv.fits
HATS-27,HARPS,6650.0,69,4.46,0.36,0.05,1.87,0.055,HATS-27_HARPSS_115000_378_691_2020_rv.fits
HATS-3,FEROS,6347.0,70,4.52,-0.02,0.05,1.41,0.130,HATS-3_FEROS_48000_352_921_2020_rv.fits
HATS-56,HARPS,6594.0,63,3.98,0.25,0.04,1.75,0.055,HATS-56_HARPSS_115000_378_691_2020_rv.fits
HATS-58A,HARPS,6564.0,41,4.35,0.13,0.03,1.65,0.055,HATS-58A_HARPSS_115000_378_691_2020_rv.fits
HATS-66,UVES,7000,652,4.80,0.08,0.36,3.53,0.061,HATS-66_UVES_56990_472_683_2020_rv.fits
HATS-68,FEROS,6276.0,91,4.43,0.24,0.07,1.91,0.130,HATS-68_FEROS_48000_352_921_2020_rv.fits	
HD103774A,HARPS,6586.0,35,4.48,0.31,0.02,1.72,0.055,HD103774A_HARPSS_115000_378_691_2020_rv.fits
HD106315,UVES,6591.0,87,4.75,-0.06,0.05,1.97,0.061,HD106315_UVES_107200_472_683_2020_rv.fits
