star_name,spectrograph,Teff,eTeff,logg,feh,efeh,vtur,instr_broad,fits_name
TYC-3667-1280-1,HARPSN,5353.0,26.0,4.38,-0.14,0.02,0.63,0.04688069968468566,TYC-3667-1280-1_HARPSN_2020_rv.fits
HAT-P-20,HARPSS,4562.0,100.0,4.18,0.18,0.05,0.85,0.046497478260869564,HAT-P-20_HARPSS_115000_378_691_2020_rv.fits
TOI-1130,HARPSS,4609.0,140.0,4.12,-0.07,0.06,0.91,0.04649373913043479,TOI-1130_HARPSS_115000_378_691_2020_rv.fits
NGTS-8,HARPSS,5781.0,51.0,4.37,0.1,0.04,0.64,0.046499391304347826,NGTS-8_HARPSS_80000_378_691_2020_rv.fits
BD+202457,HARPSN,4278.0,42.0,1.63,-0.74,0.02,1.76,0.046863738822894935,BD+202457_HARPSN_2020_rv.fits
HD27442,HARPSS,4801.0,82.0,3.39,0.31,0.05,1.11,0.04649778260869565,HD27442_HARPSS_115000_378_691_2020_rv.fits
WASP-23,HARPSS,5077.0,61.0,4.36,0.06,0.03,0.69,0.046498043478260864,WASP-23_HARPSS_115000_378_691_2020_rv.fits
CoRoT-9,HARPS,5596.0,17.0,4.39,-0.02,0.01,0.79,0.04649390563019418,CoRoT-9_HARPS_2013_rv.fits
HD159243,SOPHIEHR,6077.0,21.0,4.44,0.01,0.02,0.98,0.0721058709753722,HD159243_SOPHIE_HR_2020_rv.fits
HD141399,SOPHIEHR,5571.0,44.0,4.1,0.3,0.04,0.7,0.07211323216095251,HD141399_SOPHIE_HR_2020_rv.fits
GJ785,HARPSS,5041.0,61.0,4.34,-0.06,0.03,0.68,0.04649695652173913,GJ785_HARPSS_115000_378_691_2020_rv.fits
K2-280,HARPSS,5763.0,19.0,4.3,0.34,0.01,1.03,0.04649639130434783,K2-280_HARPSS_115000_378_691_2020_rv.fits
WASP-76,HARPSS,6372.0,28.0,4.28,0.38,0.02,1.6,0.04649530434782609,WASP-76_HARPSS_115000_378_691_2020_rv.fits
HD207832,HARPSS,5736.0,27.0,4.51,0.14,0.02,0,0.046500695652173914,HD207832_HARPSS_115000_378_691_2020_rv.fits
TOI-132,HARPSS,5368.0,45.0,4.33,0.26,0.03,0.85,0.04650173913043479,TOI-132_HARPSS_115000_378_691_2020_rv.fits
HIP65407,SOPHIEHR,5432.0,44.0,4.39,0.21,0.03,0.81,0.07211144382620625,HIP65407_SOPHIE_HR_2020_rv.fits
HD221416,HARPSS,5056.0,24.0,3.5,-0.13,0.02,0.98,0.04649395652173913,HD221416_HARPSS_115000_378_691_2020_rv.fits
TOI1710,SOPHIEHR,5665.0,55.0,4.46,0.10,0.07,0.86,0.047028086786684374,TOI1710_rv.fits
HD238914,HARPSN,4876.0,42.0,2.59,-0.1,0.03,1.61,0.046886146583200866,HD238914_HARPSN_2020_rv.fits
HATS-51,FEROS,6043.0,102.0,4.78,0.49,0.07,1.35,0.13275833332984086,HATS-51_FEROS_48000_352_921_2020_rv.fits
CoRoT-22,SOPHIEHE,5957.0,94.0,4.54,0.23,0.07,0.95,0.1351989428277816,CoRoT-22_SOPHIE_HE_2020_rv.fits
HD11977,HARPSS,5018.0,25.0,2.85,-0.15,0.02,1.48,0.046496608695652177,HD11977_HARPSS_115000_378_691_2020_rv.fits
WASP-131,HARPSS,6138.0,18.0,4.22,-0.04,0.01,1.43,0.04649608695652174,WASP-131_HARPSS_115000_378_691_2020_rv.fits
muLeo,ESPADONS,4493.0,127.0,2.4,0.21,0.06,1.68,0.10871846259014423,muLeo_ESPADONS_80000_2020_rv.fits
HD29021,SOPHIEHR,5521.0,21.0,4.41,-0.27,0.02,0.61,0.07210992148471242,HD29021_SOPHIE_HR_2020_rv.fits
HD109286,SOPHIE,5694.0,23.0,4.44,0.05,0.02,1.01,0.0721132,HD109286_SOPHIE_2017_rv.fits
HD164595,HARPSS,5714.0,10.0,4.36,-0.07,0.01,0.92,0.04649969565217391,HD164595_HARPSS_115000_378_691_2020_rv.fits
BD+152940,UVES,4797.0,36.0,2.63,-0.19,0.03,1.49,0.05392268495336674,BD+152940_UVES_107200_472_683_2020_rv.fits
HD219666,HARPSS,5539.0,18.0,4.32,0.06,0.01,0.89,0.04649604347826087,HD219666_HARPSS_115000_378_691_2020_rv.fits
WASP-181,HARPSS,5943.0,26.0,4.44,0.2,0.02,1.1,0.046495608695652176,WASP-181_HARPSS_115000_378_691_2020_rv.fits
K2-66,UVES,5956.0,25.0,4.1,-0.04,0.02,1.25,0.05392252560486405,K2-66_UVES_107200_472_683_2020_rv.fits
HD45184,HARPSS,5869.0,17.0,4.47,0.05,0.01,1.06,0.04650008695652174,HD45184_HARPSS_115000_378_691_2020_rv.fits
CoRoT-32,SOPHIEHE,5859.0,62.0,4.59,0.06,0.05,0.85,0.13520555040241275,CoRoT-32_SOPHIE_HE_2020_rv.fits
HD44219,HARPSS,5772.0,16.0,4.21,0.06,0.01,1.1,0.04649334782608695,HD44219_HARPSS_115000_378_691_2020_rv.fits
HD213885,HARPSS,5878.0,18.0,4.35,-0.01,0.01,1.08,0.0464968695652174,HD213885_HARPSS_115000_378_691_2020_rv.fits
HD16417,HARPSS,5848.0,17.0,4.14,0.14,0.01,1.24,0.04649843478260869,HD16417_HARPSS_115000_378_691_2020_rv.fits
HD108874,HARPSN,5597.0,30.0,4.33,0.21,0.02,0.96,0.046889862104995295,HD108874_HARPSN_2020_rv.fits
Kepler-408,ESPADONS,6142.0,28.0,4.33,-0.12,0.02,1.15,0.10871103079927885,Kepler-408_ESPADONS_65000_2020_rv.fits
WASP-5,HARPSS,5764.0,19.0,4.36,0.22,0.01,1.1,0.046493999999999994,WASP-5_HARPSS_115000_378_691_2020_rv.fits
WASP-91,UVES,5040.0,128.0,4.39,0.21,0.07,0.67,0.05392233637938458,WASP-91_UVES_107200_472_683_2020_rv.fits
WASP-59,SOPHIEHE,4401.0,239.0,3.97,-0.02,0.2,0.4,0.13524764412247473,WASP-59_SOPHIE_HE_2020_rv.fits
NGTS-4,HARPSS,5122.0,73.0,4.27,-0.12,0.04,0.59,0.046497826086956524,NGTS-4_HARPSS_115000_378_691_2020_rv.fits
HIP63242,HARPSS,4832.0,31.0,2.54,-0.28,0.03,1.67,0.0465004347826087,HIP63242_HARPSS_115000_378_691_2020_rv.fits
HAT-P-54,UVES,4540.0,168.0,4.13,-0.1,0.06,0.92,0.053922596706209025,HAT-P-54_UVES_51690_472_683_2020_rv.fits
HATS-61,FEROS,5845.0,114.0,4.5,0.5,0.08,1.51,0.13274833129533567,HATS-61_FEROS_48000_352_921_2020_rv.fits
HD133131A,HARPSS,5778.0,13.0,4.44,-0.25,0.01,0.96,0.046494043478260874,HD133131A_HARPSS_115000_378_691_2020_rv.fits
WASP-52,UVES,5073.0,63.0,4.36,0.17,0.03,1.04,0.05392240759926676,WASP-52_UVES_107200_472_683_2020_rv.fits
HR5183,SOPHIEHR,5887.0,19.0,4.19,0.09,0.01,1.13,0.07211032861280531,HR5183_SOPHIE_HR_2020_rv.fits
HD47186,HARPSS,5701.0,27.0,4.43,0.26,0.02,0.97,0.0465,HD47186_HARPSS_115000_378_691_2020_rv.fits
HD9174,HARPSS,5669.0,33.0,4.11,0.39,0.03,1.18,0.04649808695652174,HD9174_HARPSS_115000_378_691_2020_rv.fits
BD+152375,HARPSN,4701.0,51.0,2.34,-0.1,0.04,1.46,0.04688326597055009,BD+152375_HARPSN_2020_rv.fits
HD208897,HARPSN,4895.0,53.0,3.25,0.2,0.03,1.16,0.04689099602905259,HD208897_HARPSN_2020_rv.fits
HAT-P-42,UVES,5870.0,40.0,4.22,0.35,0.03,1.06,0.05392256041898796,HAT-P-42_UVES_107200_472_683_2020_rv.fits
HATS-17,HARPSS,5808.0,22.0,4.26,0.36,0.02,1.12,0.04650082608695653,HATS-17_HARPSS_115000_378_691_2020_rv.fits
HD20794,HARPSS,5422.0,39.0,4.53,-0.42,0.03,0.54,0.046497826086956524,HD20794_HARPSS_115000_378_691_2020_rv.fits
HAT-P-16,HARPSN,6250.0,21.0,4.49,0.21,0.01,1.22,0.0468910849510414,HAT-P-16_HARPSN_2020_rv.fits
